           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
             -200              100                0         -1.79007         0.438695         -25.7223          1.00947        -0.441783        -0.270508
             -200              100                5         -1.73259         0.247734         -25.0138         0.832609        -0.977639         -0.28581
             -200              100               10         -1.72565        0.0626816         -24.1997         0.694003         -1.49178        -0.294569
             -200              100               15           -1.776        -0.105553         -23.2404         0.612909         -1.94093         -0.29028
             -200              100               20           -1.861        -0.263614         -22.1933         0.566608         -2.35075        -0.278097
             -200              100               25         -1.96168        -0.392618         -21.0355         0.575377         -2.66324        -0.250455
             -200              100               30         -2.07025         -0.50698          -19.822         0.611894         -2.92668        -0.215024
             -200              100               35         -2.15235        -0.582851         -18.5434         0.697119         -3.09151        -0.166047
             -200              100               40         -2.22346        -0.642756         -17.2377         0.802547         -3.21544        -0.111451
             -200              100               45         -2.24073        -0.659167         -15.9039         0.950838         -3.25908       -0.0473167
             -200              100               50         -2.23991        -0.660979         -14.5606          1.11352         -3.27577        0.0200198
             -200              100               55          -2.1741        -0.618887         -13.2135           1.3139         -3.23848        0.0925304
             -200              100               60         -2.09108        -0.565164         -11.8654          1.52428          -3.1869         0.166411
             -200              100               65         -1.94431        -0.471024         -10.5259          1.76725         -3.10827         0.242018
             -200              100               70         -1.78471         -0.36875         -9.18814          2.01679         -3.02418         0.317972
             -200              100               75         -1.57047        -0.232799          -7.8615           2.2936         -2.93692         0.393894
             -200              100               80         -1.34839       -0.0920079         -6.53646          2.57434          -2.8492         0.469812
             -200              100               85         -1.08497        0.0728011         -5.21795          2.87677         -2.77736         0.545862
             -200              100               90        -0.817769         0.239806         -3.90003          3.18118         -2.70696         0.621923
             -200              100               95        -0.524626         0.418486         -2.57821          3.50036         -1.78497         0.438926
             -200              100              100         -0.23035         0.597676         -1.25623          3.82019        -0.825747         0.244604
             -200              100              105       -0.0311767         0.643516       -0.0228824          4.02996        -0.226907         0.151685
             -200              100              110         0.173663         0.626301          1.21658          3.86208        -0.171719         0.212372
             -200              100              115         0.365209         0.544011          2.35221          3.31321          -0.1008         0.254302
             -200              100              120         0.520427         0.401108          3.25355           2.4165       -0.0203145         0.272185
             -200              100              125         0.626757         0.216251          3.85615          1.28489        0.0620563         0.266714
             -200              100              130         0.668381       0.00423207          4.07399       0.00721741         0.139165         0.236374
             -200              100              135         0.640831        -0.211376          3.88732          -1.2809         0.203711         0.184386
             -200              100              140         0.549566        -0.410301          3.33255         -2.46451         0.251174         0.115999
             -200              100              145         0.395746        -0.567765          2.41938          -3.4026         0.274685        0.0356448
             -200              100              150         0.200413        -0.670232          1.26871         -4.01992         0.274048       -0.0483676
             -200              100              155       -0.0189917        -0.707327       -0.0201651         -4.25858         0.249028        -0.129395
             -200              100              160        -0.239902        -0.666812         -1.32029         -4.04852          0.19928        -0.198944
             -200              100              165         -0.43999         -0.56013         -2.50565         -3.45372         0.131483        -0.252053
             -200              100              170        -0.597896        -0.392562         -3.45619         -2.50188        0.0499753        -0.282864
             -200              100              175        -0.694216        -0.180533         -4.06163         -1.28296       -0.0378687        -0.287458
             -200              100              180        -0.723615        0.0531517         -4.28881        0.0750258        -0.124476        -0.266948
             -200              100              185        -0.674816         0.286072          -4.0701          1.44832        -0.201622        -0.220017
             -200              100              190         -0.55594         0.493221         -3.44603          2.69421        -0.262416        -0.151834
             -200              100              195        -0.379357         0.656747         -2.48124          3.70815        -0.302413        -0.068016
             -200              100              200        -0.157671         0.753496         -1.23892          4.35526        -0.315214        0.0256923
             -200              100              205        0.0849891         0.774812          0.14875          4.57855        -0.299909         0.120463
             -200              100              210         0.323506         0.713687          1.54363          4.32772        -0.255862         0.207144
             -200              100              215         0.535236         0.583755          2.81385          3.67099        -0.189068         0.279437
             -200              100              220         0.696225         0.389635           3.8231           2.6229        -0.102177         0.329356
             -200              100              225           0.7899         0.152669          4.46846          1.29634      -0.00307856         0.352215
             -200              100              230         0.809411        -0.104727          4.70078         -0.18492         0.100394         0.346582
             -200              100              235         0.742952        -0.356267          4.43963         -1.67781         0.198916         0.308806
             -200              100              240         0.606379        -0.579357          3.76289         -3.04469         0.285157          0.24508
             -200              100              245         0.403479        -0.746957          2.67656         -4.12759          0.34954         0.156821
             -200              100              250          0.15918        -0.845638          1.31426         -4.83449         0.387558        0.0529061
             -200              100              255        -0.105483        -0.864622        -0.210418         -5.08927         0.395108       -0.0592586
             -200              100              260         -0.36327        -0.796702         -1.74537         -4.83145         0.368979        -0.170001
             -200              100              265        -0.592173        -0.655833         -3.15551         -4.12691         0.313726        -0.271148
             -200              100              270        -0.762654        -0.444746         -4.26658         -2.97014         0.228782        -0.351511
             -200              100              275        -0.865251        -0.192037         -5.00393         -1.52199         0.124128         -0.40668
             -200              100              280         -0.88498        0.0822914         -5.26453           0.1105       0.00597884        -0.429812
             -200              100              285          -0.8196         0.350041         -5.01352          1.76133        -0.115608        -0.418124
             -200              100              290        -0.679543         0.588613         -4.29538          3.28694        -0.231695        -0.373898
             -200              100              295        -0.469524          0.76807         -3.11437          4.50112        -0.330715        -0.295925
             -200              100              300        -0.217875         0.880011         -1.63289           5.3299        -0.406993        -0.194159
             -200              100              305        0.0561016         0.905716        0.0460013          5.64053         -0.45113       -0.0736181
             -200              100              310         0.323938         0.847577          1.74684          5.42219        -0.460595        0.0547767
             -200              100              315         0.562387         0.711478          3.32065          4.68964        -0.434324         0.181521
             -200              100              320         0.744114         0.506097          4.58735           3.4726        -0.371167         0.294964
             -200              100              325         0.859893         0.257204          5.46588          1.92454        -0.279326         0.387967
             -200              100              330         0.888644       -0.0158917          5.80086         0.150452        -0.161988         0.448888
             -200              100              335         0.837381        -0.284441          5.60971         -1.65754       -0.0310013         0.475608
             -200              100              340         0.707371        -0.524287          4.87537         -3.33849         0.104578         0.463848
             -200              100              345         0.511228        -0.710593          3.65398         -4.71309         0.233014         0.413228
             -200              100              350         0.271433        -0.832681            2.083         -5.68685          0.34562         0.330129
             -200              100              355       0.00729983        -0.867785         0.269677         -6.08073         0.429137         0.216378
             -200              100              360        -0.253246        -0.826257         -1.58673         -5.93441         0.480849        0.0850446
             -200              100              365        -0.485682        -0.705045         -3.31792         -5.19803         0.492873       -0.0553627
             -200              100              370        -0.668098         -0.52018          -4.7514         -3.95786         0.465016        -0.192417
             -200              100              375        -0.787178        -0.290427         -5.76889         -2.33116         0.400161        -0.315905
             -200              100              380        -0.824945       -0.0365128         -6.21292        -0.447681          0.30004        -0.412693
             -200              100              385        -0.789138         0.215807         -6.10691          1.49608         0.176269        -0.478212
             -200              100              390        -0.674971         0.441355         -5.37993          3.31385        0.0361129        -0.502036
             -200              100              395        -0.501617         0.620902         -4.14848          4.83649        -0.107277        -0.485155
             -200              100              400        -0.284163         0.738245         -2.50431          5.91694        -0.242902        -0.427356
             -200              100              405       -0.0442758         0.779913        -0.596377          6.41637        -0.357881        -0.331596
             -200              100              410         0.194947         0.751078          1.38922          6.34276         -0.44547        -0.208399
             -200              100              415         0.407788         0.645143           3.2526          5.60222        -0.492566       -0.0645356
             -200              100              420         0.578392          0.48389          4.83297           4.3469        -0.500311        0.0854189
             -200              100              425         0.688508         0.279016          5.95801          2.64497        -0.464488         0.229737
             -200              100              430         0.729041        0.0531672           6.5121         0.672432        -0.388487         0.355152
             -200              100              435         0.701721        -0.172726          6.47273         -1.38836        -0.280026         0.452791
             -200              100              440         0.602904         -0.37401           5.7614         -3.32437        -0.145224         0.509187
             -200              100              445         0.452588        -0.536053           4.5255         -4.97335       0.00157794          0.52469
             -200              100              450         0.260592        -0.639262          2.81684         -6.13449         0.148904         0.492422
             -200              100              455        0.0499724        -0.678543         0.832753         -6.71709         0.283347         0.417833
             -200              100              460        -0.160049         -0.65196         -1.25265         -6.66378         0.393924         0.306504
             -200              100              465        -0.347011        -0.559736         -3.22334         -5.92949         0.467966         0.166353
             -200              100              470        -0.497478        -0.418744         -4.91724         -4.64733         0.503254         0.011454
             -200              100              475        -0.591201        -0.238148         -6.11045         -2.86435         0.490171        -0.145683
             -200              100              480        -0.626905       -0.0409837         -6.73893        -0.806662         0.435031        -0.290868
