        Frequency / GHz                S1,1/imaginary
----------------------------------------------------------------------
                       0                               0
            0.0020000001                   -0.0006530938
            0.0040000002                   -0.0013060903
            0.0060000001                   -0.0019588971
            0.0080000004                   -0.0026114322
            0.0099999998                   -0.0032636279
                   0.012                   -0.0039154342
                   0.014                   -0.0045668241
             0.016000001                   -0.0052177897
             0.017999999                   -0.0058683529
                    0.02                    -0.006518553
                   0.022                   -0.0071684569
                   0.024                   -0.0078181466
             0.026000001                   -0.0084677273
             0.028000001                    -0.009117309
             0.029999999                   -0.0097670136
             0.032000002                    -0.010416966
             0.034000002                    -0.011067288
             0.035999998                    -0.011718093
             0.037999999                    -0.012369486
             0.039999999                    -0.013021548
             0.041999999                     -0.01367435
                   0.044                    -0.014327933
                   0.046                    -0.014982317
                   0.048                    -0.015637496
             0.050000001                    -0.016293453
             0.052000001                    -0.016950129
             0.054000001                    -0.017607462
             0.056000002                    -0.018265368
             0.057999998                    -0.018923761
             0.059999999                    -0.019582534
             0.061999999                    -0.020241596
             0.064000003                    -0.020900849
                   0.066                    -0.021560218
             0.068000004                    -0.022219624
                    0.07                    -0.022879027
             0.071999997                     -0.02353839
             0.074000001                    -0.024197707
             0.075999998                    -0.024856998
             0.078000002                    -0.025516305
             0.079999998                    -0.026175689
             0.082000002                    -0.026835231
             0.083999999                    -0.027495043
             0.086000003                     -0.02815523
                   0.088                    -0.028815921
             0.090000004                    -0.029477233
                   0.092                    -0.030139292
             0.093999997                    -0.030802216
             0.096000001                    -0.031466104
             0.097999997                    -0.032131046
                     0.1                    -0.032797109
                   0.102                    -0.033464331
                   0.104                    -0.034132741
                   0.106                    -0.034802333
                   0.108                    -0.035473075
                    0.11                     -0.03614492
                   0.112                    -0.036817804
                   0.114                    -0.037491634
                   0.116                    -0.038166329
                   0.118                     -0.03884178
                    0.12                    -0.039517891
                   0.122                    -0.040194567
                   0.124                    -0.040871732
                   0.126                    -0.041549295
              0.12800001                    -0.042227235
                    0.13                    -0.042905498
                   0.132                     -0.04358409
                   0.134                    -0.044263035
              0.13600001                    -0.044942379
                   0.138                    -0.045622181
                    0.14                    -0.046302542
                   0.142                     -0.04698357
              0.14399999                    -0.047665369
                   0.146                    -0.048348095
                   0.148                    -0.049031861
              0.15000001                    -0.049716804
                   0.152                    -0.050403055
                   0.154                    -0.051090714
                   0.156                    -0.051779874
              0.15800001                    -0.052470617
                    0.16                    -0.053162981
                   0.162                    -0.053856991
                   0.164                    -0.054552656
              0.16599999                    -0.055249929
                   0.168                    -0.055948779
                    0.17                    -0.056649115
              0.17200001                    -0.057350859
              0.17399999                    -0.058053918
                   0.176                    -0.058758181
                   0.178                    -0.059463535
              0.18000001                    -0.060169891
                   0.182                    -0.060877152
                   0.184                    -0.061585248
                   0.186                    -0.062294118
              0.18799999                    -0.063003726
                    0.19                    -0.063714087
                   0.192                    -0.064425208
              0.19400001                    -0.065137118
              0.19599999                    -0.065849923
                   0.198                    -0.066563703
                     0.2                    -0.067278579
              0.20200001                    -0.067994677
                   0.204                     -0.06871213
                   0.206                    -0.069431104
                   0.208                    -0.070151716
              0.20999999                    -0.070874125
                   0.212                    -0.071598455
                   0.214                    -0.072324798
              0.21600001                    -0.073053248
              0.21799999                    -0.073783852
                    0.22                    -0.074516654
                   0.222                    -0.075251646
              0.22400001                    -0.075988829
                   0.226                     -0.07672815
                   0.228                    -0.077469513
                    0.23                    -0.078212865
              0.23199999                    -0.078958072
                   0.234                    -0.079705067
                   0.236                    -0.080453694
              0.23800001                    -0.081203885
              0.23999999                    -0.081955522
                   0.242                     -0.08270853
                   0.244                    -0.083462849
              0.24600001                    -0.084218435
                   0.248                    -0.084975302
                    0.25                    -0.085733429
                   0.252                    -0.086492889
              0.25400001                    -0.087253749
              0.25600001                    -0.088016108
              0.25799999                    -0.088780083
              0.25999999                    -0.089545809
              0.26199999                    -0.090313427
                   0.264                    -0.091083102
                   0.266                    -0.091854975
              0.26800001                    -0.092629224
              0.27000001                    -0.093405925
              0.27200001                    -0.094185241
              0.27399999                    -0.094967246
              0.27599999                    -0.095752008
                   0.278                    -0.096539587
                    0.28                    -0.097329974
              0.28200001                    -0.098123163
              0.28400001                    -0.098919109
              0.28600001                    -0.099717759
              0.28799999                     -0.10051901
              0.28999999                     -0.10132278
                   0.292                     -0.10212897
                   0.294                     -0.10293745
