        Frequency / GHz                S1,3/real
----------------------------------------------------------------------
                       0                   1.9041105e-05
            0.0020000001                   1.8718823e-05
            0.0040000002                   1.7763019e-05
            0.0060000001                   1.6206446e-05
            0.0080000004                   1.4102443e-05
            0.0099999998                   1.1523125e-05
                   0.012                   8.5569209e-06
                   0.014                   5.3055614e-06
             0.016000001                   1.8806059e-06
             0.017999999                  -1.6003609e-06
                    0.02                  -5.0177418e-06
                   0.022                  -8.2540128e-06
                   0.024                  -1.1197728e-05
             0.026000001                  -1.3747352e-05
             0.028000001                  -1.5814705e-05
             0.029999999                  -1.7328019e-05
             0.032000002                  -1.8234346e-05
             0.034000002                  -1.8501505e-05
             0.035999998                  -1.8119041e-05
             0.037999999                  -1.7098751e-05
             0.039999999                  -1.5474243e-05
             0.041999999                  -1.3299823e-05
                   0.044                  -1.0648731e-05
                   0.046                  -7.6105484e-06
                   0.048                  -4.2883589e-06
             0.050000001                  -7.9513961e-07
             0.052000001                    2.750048e-06
             0.054000001                   6.2260269e-06
             0.056000002                   9.5136775e-06
             0.057999998                   1.2499899e-05
             0.059999999                   1.5081631e-05
             0.061999999                   1.7169072e-05
             0.064000003                   1.8688905e-05
                   0.066                   1.9586862e-05
             0.068000004                   1.9829309e-05
                    0.07                   1.9404681e-05
             0.071999997                   1.8323801e-05
             0.074000001                   1.6619259e-05
             0.075999998                   1.4344745e-05
             0.078000002                   1.1572829e-05
             0.079999998                   8.3928289e-06
             0.082000002                   4.9074783e-06
             0.083999999                   1.2296136e-06
             0.086000003                  -2.5217837e-06
                   0.088                   -6.225423e-06
             0.090000004                  -9.7623206e-06
                   0.092                  -1.3019211e-05
             0.093999997                  -1.5893029e-05
             0.096000001                  -1.8294093e-05
             0.097999997                  -2.0149357e-05
                     0.1                   -2.140478e-05
                   0.102                  -2.2027451e-05
                   0.104                  -2.2006479e-05
                   0.106                  -2.1353497e-05
                   0.108                   -2.010243e-05
                    0.11                   -1.830839e-05
                   0.112                  -1.6045566e-05
                   0.114                  -1.3405159e-05
                   0.116                  -1.0491692e-05
                   0.118                   -7.420354e-06
                    0.12                  -4.3124346e-06
                   0.122                  -1.2912229e-06
                   0.124                   1.5216627e-06
                   0.126                   4.0110481e-06
              0.12800001                   6.0715884e-06
                    0.13                   7.6117126e-06
                   0.132                   8.5564552e-06
                   0.134                   8.8505376e-06
              0.13600001                   8.4596004e-06
                   0.138                   7.3720857e-06
                    0.14                   5.5991272e-06
                   0.142                   3.1742122e-06
              0.14399999                   1.5277675e-07
                   0.146                   -3.390488e-06
                   0.148                  -7.3638739e-06
              0.15000001                  -1.1661632e-05
                   0.152                  -1.6167418e-05
                   0.154                   -2.075888e-05
                   0.156                   -2.531099e-05
              0.15800001                  -2.9701176e-05
                    0.16                  -3.3812612e-05
                   0.162                  -3.7539168e-05
                   0.164                  -4.0788309e-05
              0.16599999                  -4.3484593e-05
                   0.168                   -4.557248e-05
                    0.17                  -4.7018049e-05
              0.17200001                  -4.7810245e-05
              0.17399999                  -4.7961363e-05
                   0.176                   -4.750699e-05
                   0.178                  -4.6504396e-05
              0.18000001                  -4.5030705e-05
                   0.182                  -4.3181113e-05
                   0.184                  -4.1064646e-05
                   0.186                  -3.8801114e-05
