        Frequency / GHz                S1,2/real
----------------------------------------------------------------------
                       0                    1.903884e-05
            0.0020000001                   1.8716586e-05
            0.0040000002                   1.7760871e-05
            0.0060000001                   1.6204436e-05
            0.0080000004                   1.4100621e-05
            0.0099999998                   1.1521534e-05
                   0.012                   8.5555939e-06
                   0.014                   5.3045228e-06
             0.016000001                   1.8798695e-06
             0.017999999                  -1.6007918e-06
                    0.02                  -5.0178755e-06
                   0.022                  -8.2538654e-06
                   0.024                  -1.1197333e-05
             0.026000001                  -1.3746739e-05
             0.028000001                  -1.5813926e-05
             0.029999999                  -1.7327127e-05
             0.032000002                  -1.8233422e-05
             0.034000002                  -1.8500567e-05
             0.035999998                  -1.8118182e-05
             0.037999999                  -1.7098006e-05
             0.039999999                  -1.5473692e-05
             0.041999999                  -1.3299526e-05
                   0.044                  -1.0648699e-05
                   0.046                  -7.6108317e-06
                   0.048                  -4.2889637e-06
             0.050000001                  -7.9607838e-07
             0.052000001                   2.7487602e-06
             0.054000001                   6.2243757e-06
             0.056000002                   9.5117257e-06
             0.057999998                   1.2497687e-05
             0.059999999                   1.5079138e-05
             0.061999999                    1.716638e-05
             0.064000003                   1.8686116e-05
                   0.066                   1.9583986e-05
             0.068000004                    1.982641e-05
                    0.07                    1.940189e-05
             0.071999997                   1.8321105e-05
             0.074000001                    1.661677e-05
             0.075999998                   1.4342465e-05
             0.078000002                   1.1570904e-05
             0.079999998                     8.39122e-06
             0.082000002                   4.9062173e-06
             0.083999999                   1.2287675e-06
             0.086000003                  -2.5221914e-06
                   0.088                  -6.2254917e-06
             0.090000004                   -9.761914e-06
                   0.092                  -1.3018476e-05
             0.093999997                  -1.5891956e-05
             0.096000001                  -1.8292751e-05
             0.097999997                  -2.0147714e-05
                     0.1                  -2.1402959e-05
                   0.102                  -2.2025488e-05
                   0.104                  -2.2004373e-05
                   0.106                  -2.1351438e-05
                   0.108                    -2.01004e-05
                    0.11                  -1.8306437e-05
                   0.112                  -1.6043696e-05
                   0.114                   -1.340341e-05
                   0.116                  -1.0490137e-05
                   0.118                  -7.4190443e-06
                    0.12                   -4.311124e-06
                   0.122                  -1.2901027e-06
                   0.124                   1.5226324e-06
                   0.126                   4.0120112e-06
              0.12800001                   6.0724583e-06
                    0.13                   7.6125853e-06
                   0.132                   8.5574784e-06
                   0.134                   8.8517181e-06
              0.13600001                   8.4610692e-06
                   0.138                   7.3738433e-06
                    0.14                   5.6011631e-06
                   0.142                   3.1768586e-06
              0.14399999                   1.5592627e-07
                   0.146                  -3.3868614e-06
                   0.148                  -7.3595256e-06
              0.15000001                  -1.1656522e-05
                   0.152                  -1.6161675e-05
                   0.154                  -2.0752323e-05
                   0.156                  -2.5303774e-05
              0.15800001                  -2.9693132e-05
                    0.16                  -3.3803943e-05
                   0.162                  -3.7529775e-05
                   0.164                  -4.0778181e-05
              0.16599999                  -4.3473898e-05
                   0.168                  -4.5561177e-05
                    0.17                  -4.7006164e-05
              0.17200001                  -4.7797825e-05
              0.17399999                  -4.7948546e-05
                   0.176                  -4.7493697e-05
                   0.178                  -4.6490575e-05
              0.18000001                  -4.5016608e-05
                   0.182                  -4.3166689e-05
                   0.184                  -4.1049701e-05
                   0.186                   -3.878578e-05
              0.18799999                  -3.6501388e-05
