           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
             -200              100                0        -0.608231       -0.0599748          10.6989        -0.401132        -0.101384        -0.264923
             -200              100                5        -0.649951        -0.046143          10.3922        -0.463039         0.167266        -0.329967
             -200              100               10        -0.662679       -0.0362814          10.0461        -0.528394         0.425996        -0.395448
             -200              100               15        -0.638563       -0.0326777          9.64555        -0.598614          0.65568        -0.461206
             -200              100               20        -0.592156       -0.0328598          9.21202        -0.671776         0.867792        -0.527133
             -200              100               25        -0.525242       -0.0396895          8.73737        -0.749923          1.03633        -0.592735
             -200              100               30        -0.447994       -0.0498689          8.24198        -0.830582           1.1829        -0.658173
             -200              100               35        -0.367821       -0.0664341          7.72301        -0.916472          1.28429          -0.7228
             -200              100               40        -0.286436        -0.085648          7.19425         -1.00453          1.36693        -0.787092
             -200              100               45        -0.214388        -0.110501          6.65593         -1.09827          1.41062        -0.850327
             -200              100               50        -0.145474        -0.137246          6.11438         -1.19391          1.44125        -0.913209
             -200              100               55       -0.0924689        -0.168392          5.57236          -1.2956          1.44192        -0.974886
             -200              100               60       -0.0436779        -0.200702           5.0302          -1.3989          1.43466         -1.03624
             -200              100               65       -0.0130099        -0.235846          4.49226         -1.50833          1.40594          -1.0961
             -200              100               70        0.0140109         -0.27156          3.95517         -1.61901           1.3729         -1.15565
             -200              100               75        0.0235856        -0.308504          3.42378         -1.73554           1.3251         -1.21311
             -200              100               80        0.0306532        -0.345624          2.89321         -1.85291          1.27517         -1.27026
             -200              100               85        0.0227089        -0.382607          2.36759         -1.97534          1.21517         -1.32454
             -200              100               90        0.0133923        -0.419578          1.84241         -2.09823          1.15424         -1.37856
             -200              100               95      -0.00753422        -0.455378          1.31991         -2.22466         0.836733         -1.06652
             -200              100              100       -0.0289682        -0.491126         0.797524         -2.35125         0.508008        -0.738482
             -200              100              105        -0.121886        -0.485108         0.341873         -2.45232          0.17875         -0.41132
             -200              100              110        -0.214437        -0.461361        -0.125349         -2.47248         0.096591        -0.438847
             -200              100              115         -0.30325         -0.41999        -0.589043         -2.41032        0.0106873        -0.451622
             -200              100              120        -0.384985        -0.361714         -1.03412         -2.26692        -0.076149        -0.449357
             -200              100              125        -0.456458        -0.287856           -1.446         -2.04583        -0.161143        -0.432257
             -200              100              130        -0.514739        -0.200307         -1.81097         -1.75302        -0.241645           -0.401
             -200              100              135        -0.557254        -0.101475         -2.11663         -1.39672        -0.315221        -0.356688
             -200              100              140        -0.581883       0.00578623         -2.35227        -0.987176         -0.37972        -0.300802
             -200              100              145        -0.587023         0.118247         -2.50914         -0.53643        -0.433334        -0.235135
             -200              100              150        -0.571665           0.2324          -2.5808       -0.0579776        -0.474639        -0.161721
             -200              100              155        -0.535431         0.344562         -2.56325         0.433596        -0.502618       -0.0827574
             -200              100              160        -0.478608         0.450985         -2.45517         0.923014         -0.51668     -0.000535991
             -200              100              165        -0.402159         0.547972         -2.25794          1.39472        -0.516655        0.0826353
             -200              100              170        -0.307715         0.631996         -1.97565          1.83334        -0.502772         0.164499
             -200              100              175        -0.197541         0.699812         -1.61506          2.22413        -0.475634         0.242907
