        Frequency / GHz                S2,3/imaginary
----------------------------------------------------------------------
                       0                               0
            0.0020000001                  -3.8290543e-07
            0.0040000002                  -7.5287539e-07
            0.0060000001                  -1.0972396e-06
            0.0080000004                  -1.4038517e-06
            0.0099999998                  -1.6613383e-06
                   0.012                  -1.8593327e-06
                   0.014                  -1.9886879e-06
             0.016000001                  -2.0416651e-06
             0.017999999                  -2.0120938e-06
                    0.02                  -1.8955004e-06
                   0.022                   -1.689203e-06
                   0.024                  -1.3923695e-06
             0.026000001                  -1.0060386e-06
             0.028000001                  -5.3310288e-07
             0.029999999                   2.1746034e-08
             0.032000002                   6.5210395e-07
             0.034000002                   1.3499873e-06
             0.035999998                   2.1059839e-06
             0.037999999                   2.9094454e-06
             0.039999999                   3.7486898e-06
             0.041999999                   4.6112464e-06
                   0.044                   5.4840966e-06
                   0.046                   6.3539446e-06
                   0.048                   7.2074677e-06
             0.050000001                   8.0316095e-06
             0.052000001                   8.8138258e-06
             0.054000001                   9.5423356e-06
             0.056000002                    1.020639e-05
             0.057999998                   1.0796457e-05
             0.059999999                   1.1304437e-05
             0.061999999                   1.1723837e-05
             0.064000003                   1.2049887e-05
                   0.066                   1.2279666e-05
             0.068000004                   1.2412152e-05
                    0.07                    1.244826e-05
             0.071999997                   1.2390832e-05
             0.074000001                   1.2244587e-05
             0.075999998                   1.2016041e-05
             0.078000002                   1.1713381e-05
             0.079999998                   1.1346318e-05
             0.082000002                   1.0925901e-05
             0.083999999                   1.0464304e-05
             0.086000003                   9.9745985e-06
                   0.088                   9.4704965e-06
             0.090000004                   8.9660962e-06
                   0.092                   8.4755957e-06
             0.093999997                   8.0130358e-06
             0.096000001                    7.592017e-06
             0.097999997                   7.2254411e-06
                     0.1                   6.9252624e-06
                   0.102                   6.7022615e-06
                   0.104                   6.5658282e-06
                   0.106                   6.5237969e-06
                   0.108                   6.5822824e-06
                    0.11                   6.7455767e-06
                   0.112                   7.0160663e-06
                   0.114                   7.3941974e-06
                   0.116                   7.8784624e-06
                   0.118                   8.4654557e-06
                    0.12                   9.1499396e-06
                   0.122                   9.9249492e-06
                   0.124                   1.0781934e-05
                   0.126                   1.1710992e-05
              0.12800001                      1.2701e-05
                    0.13                   1.3739887e-05
                   0.132                   1.4814882e-05
                   0.134                   1.5912767e-05
              0.13600001                   1.7020173e-05
                   0.138                   1.8123834e-05
                    0.14                   1.9210878e-05
                   0.142                   2.0269103e-05
              0.14399999                   2.1287182e-05
                   0.146                   2.2255001e-05
                   0.148                   2.3163782e-05
              0.15000001                   2.4006358e-05
                   0.152                   2.4777186e-05
                   0.154                   2.5472662e-05
                   0.156                   2.6091082e-05
              0.15800001                   2.6632739e-05
                    0.16                   2.7099897e-05
                   0.162                   2.7496801e-05
                   0.164                   2.7829628e-05
              0.16599999                   2.8106298e-05
                   0.168                   2.8336413e-05
                    0.17                   2.8531013e-05
              0.17200001                    2.870246e-05
              0.17399999                   2.8864122e-05
                   0.176                    2.903018e-05
                   0.178                   2.9215314e-05
              0.18000001                   2.9434434e-05
                   0.182                   2.9702443e-05
                   0.184                   3.0033905e-05
                   0.186                   3.0442738e-05
              0.18799999                   3.0942065e-05
                    0.19                   3.1543816e-05
                   0.192                   3.2258631e-05
              0.19400001                    3.309553e-05
              0.19599999                   3.4061875e-05
                   0.198                   3.5163142e-05
                     0.2                   3.6402824e-05
              0.20200001                   3.7782469e-05
                   0.204                   3.9301507e-05
                   0.206                   4.0957359e-05
                   0.208                   4.2745523e-05
              0.20999999                   4.4659595e-05
                   0.212                   4.6691453e-05
                   0.214                   4.8831414e-05
              0.21600001                   5.1068502e-05
              0.21799999                   5.3390489e-05
                    0.22                   5.5784411e-05
                   0.222                   5.8236656e-05
              0.22400001                   6.0733244e-05
                   0.226                   6.3260246e-05
                   0.228                   6.5803957e-05
                    0.23                   6.8351212e-05
              0.23199999                   7.0889699e-05
                   0.234                    7.340822e-05
                   0.236                   7.5896882e-05
              0.23800001                   7.8347308e-05
              0.23999999                   8.0752856e-05
                   0.242                   8.3108833e-05
                   0.244                   8.5412401e-05
              0.24600001                   8.7662884e-05
                   0.248                   8.9861671e-05
                    0.25                   9.2012247e-05
                   0.252                   9.4120041e-05
              0.25400001                    9.619254e-05
              0.25600001                   9.8239012e-05
              0.25799999                   0.00010027028
              0.25999999                   0.00010229876
