        Frequency / GHz                S1,3/real
----------------------------------------------------------------------
                       0                  -1.7514962e-05
            0.0020000001                  -1.7327702e-05
            0.0040000002                  -1.6769818e-05
            0.0060000001                   -1.585294e-05
            0.0080000004                    -1.45962e-05
            0.0099999998                  -1.3025777e-05
                   0.012                  -1.1174408e-05
                   0.014                  -9.0807134e-06
             0.016000001                  -6.7883002e-06
             0.017999999                  -4.3449654e-06
                    0.02                  -1.8015742e-06
                   0.022                   7.8885853e-07
                   0.024                   3.3724002e-06
             0.026000001                   5.8952128e-06
             0.028000001                   8.3048426e-06
             0.029999999                   1.0551149e-05
             0.032000002                   1.2587437e-05
             0.034000002                   1.4371391e-05
             0.035999998                    1.586603e-05
             0.037999999                    1.704036e-05
             0.039999999                   1.7870136e-05
             0.041999999                   1.8338327e-05
                   0.044                   1.8435376e-05
                   0.046                   1.8159639e-05
                   0.048                   1.7517012e-05
             0.050000001                   1.6521311e-05
             0.052000001                   1.5193513e-05
             0.054000001                   1.3561573e-05
             0.056000002                   1.1659758e-05
             0.057999998                   9.5279738e-06
             0.059999999                   7.2107287e-06
             0.061999999                   4.7564999e-06
             0.064000003                   2.2164527e-06
                   0.066                  -3.5660821e-07
             0.068000004                  -2.9091786e-06
                    0.07                  -5.3884723e-06
             0.071999997                  -7.7433169e-06
             0.074000001                  -9.9253002e-06
             0.075999998                  -1.1889874e-05
             0.078000002                  -1.3597318e-05
             0.079999998                  -1.5013381e-05
             0.082000002                  -1.6110343e-05
             0.083999999                  -1.6867429e-05
             0.086000003                  -1.7271213e-05
                   0.088                  -1.7315941e-05
             0.090000004                  -1.7004053e-05
                   0.092                  -1.6345493e-05
             0.093999997                   -1.535811e-05
             0.096000001                  -1.4066943e-05
             0.097999997                  -1.2503952e-05
                     0.1                  -1.0707071e-05
                   0.102                  -8.7199796e-06
                   0.104                  -6.5906138e-06
                   0.106                  -4.3703035e-06
                   0.108                  -2.1132585e-06
                    0.11                   1.2558053e-07
                   0.112                   2.2904023e-06
                   0.114                   4.3270479e-06
                   0.116                   6.1828491e-06
                   0.118                   7.8086105e-06
                    0.12                   9.1594975e-06
                   0.122                    1.019557e-05
                   0.124                   1.0883091e-05
                   0.126                    1.119482e-05
              0.12800001                   1.1110898e-05
                    0.13                   1.0619336e-05
                   0.132                   9.7158809e-06
                   0.134                   8.4042676e-06
              0.13600001                   6.6963776e-06
                   0.138                    4.611707e-06
                    0.14                   2.1771702e-06
                   0.142                  -5.7373973e-07
              0.14399999                  -3.6013407e-06
                   0.146                  -6.8608174e-06
                   0.148                   -1.030303e-05
              0.15000001                  -1.3875645e-05
                   0.152                  -1.7524315e-05
                   0.154                    -2.11936e-05
                   0.156                  -2.4828216e-05
              0.15800001                  -2.8374676e-05
                    0.16                  -3.1781481e-05
                   0.162                  -3.5001365e-05
                   0.164                  -3.7991224e-05
              0.16599999                  -4.0713909e-05
                   0.168                  -4.3138749e-05
                    0.17                  -4.5241937e-05
              0.17200001                  -4.7007576e-05
              0.17399999                  -4.8427442e-05
                   0.176                  -4.9502265e-05
                   0.178                  -5.0240153e-05
              0.18000001                  -5.0658178e-05
                   0.182                  -5.0780691e-05
                   0.184                  -5.0639821e-05
                   0.186                  -5.0274091e-05
              0.18799999                  -4.9728202e-05
                    0.19                  -4.9051974e-05
                   0.192                  -4.8299029e-05
              0.19400001                  -4.7526297e-05
              0.19599999                  -4.6792113e-05
                   0.198                  -4.6155739e-05
                     0.2                  -4.5675672e-05
              0.20200001                   -4.540828e-05
                   0.204                   -4.540748e-05
                   0.206                  -4.5722321e-05
                   0.208                  -4.6397527e-05
              0.20999999                  -4.7470847e-05
                   0.212                  -4.8973579e-05
                   0.214                  -5.0929317e-05
              0.21600001                  -5.3353615e-05
              0.21799999                  -5.6253441e-05
                    0.22                  -5.9627444e-05
                   0.222                  -6.3465144e-05
              0.22400001                  -6.7748348e-05
                   0.226                  -7.2450392e-05
                   0.228                  -7.7537377e-05
                    0.23                   -8.296845e-05
              0.23199999                  -8.8697139e-05
                   0.234                  -9.4671748e-05
                   0.236                  -0.00010083688
              0.23800001                   -0.0001071345
              0.23999999                  -0.00011350512
                   0.242                  -0.00011988887
                   0.244                  -0.00012622758
              0.24600001                  -0.00013246485
                   0.248                  -0.00013854796
                    0.25                  -0.00014442926
                   0.252                  -0.00015006687
              0.25400001                  -0.00015542509
              0.25600001                  -0.00016047656
              0.25799999                  -0.00016520178
              0.25999999                  -0.00016958946
              0.26199999                  -0.00017363828
                   0.264                  -0.00017735526
                   0.266                  -0.00018075625
              0.26800001                  -0.00018386688
              0.27000001                  -0.00018671998
              0.27200001                  -0.00018935672
              0.27399999                  -0.00019182477
              0.27599999                  -0.00019417868
                   0.278                  -0.00019647644
                    0.28                  -0.00019878079
              0.28200001                  -0.00020115677
              0.28400001                  -0.00020367038
              0.28600001                  -0.00020638738
              0.28799999                  -0.00020937237
              0.28999999                  -0.00021268694
                   0.292                  -0.00021638823
                   0.294                  -0.00022052816
                   0.296                  -0.00022515263
              0.29800001                   -0.0002303002
              0.30000001                  -0.00023600037
              0.30199999                  -0.00024227469
              0.30399999                  -0.00024913522
              0.30599999                   -0.0002565844
                   0.308                  -0.00026461534
                    0.31                  -0.00027321093
              0.31200001                  -0.00028234581
              0.31400001                  -0.00029198569
              0.31600001                  -0.00030208763
              0.31799999                  -0.00031260285
              0.31999999                  -0.00032347572
                   0.322                  -0.00033464577
                   0.324                  -0.00034604975
              0.32600001                   -0.0003576208
              0.32800001                  -0.00036929245
              0.33000001                  -0.00038099827
              0.33199999                  -0.00039267362
              0.33399999                  -0.00040425741
                   0.336                  -0.00041569391
                   0.338                   -0.0004269325
                    0.34                  -0.00043792944
              0.34200001                   -0.0004486503
              0.34400001                  -0.00045906851
              0.34599999                  -0.00046916705
              0.34799999                  -0.00047893883
              0.34999999                  -0.00048838783
                   0.352                  -0.00049752695
                   0.354                  -0.00050638028
              0.35600001                  -0.00051498029
              0.35800001                  -0.00052336929
              0.36000001                  -0.00053159782
              0.36199999                  -0.00053972338
              0.36399999                  -0.00054780976
                   0.366                   -0.0005559253
                   0.368                   -0.0005641426
                    0.37                  -0.00057253538
              0.37200001                  -0.00058117806
              0.37400001                  -0.00059014489
              0.37599999                  -0.00059950724
              0.37799999                  -0.00060933188
                    0.38                  -0.00061968126
                   0.382                  -0.00063061062
                   0.384                  -0.00064216781
              0.38600001                  -0.00065439142
              0.38800001                  -0.00066731067
              0.38999999                  -0.00068094482
              0.39199999                   -0.0006953032
              0.39399999                  -0.00071038207
                   0.396                  -0.00072616915
                   0.398                  -0.00074264081
              0.40000001                  -0.00075976312
              0.40200001                  -0.00077749335
              0.40400001                  -0.00079578039
              0.40599999                  -0.00081456435
              0.40799999                  -0.00083378126
                    0.41                  -0.00085336156
                   0.412                  -0.00087323179
                   0.414                  -0.00089331693
              0.41600001                  -0.00091354223
              0.41800001                  -0.00093383453
              0.41999999                  -0.00095412339
              0.42199999                   -0.0009743424
              0.42399999                  -0.00099443237
                   0.426                    -0.001014341
                   0.428                   -0.0010340241
              0.43000001                   -0.0010534477
              0.43200001                   -0.0010725878
              0.43399999                   -0.0010914304
              0.43599999                   -0.0011099754
              0.43799999                   -0.0011282311
                    0.44                   -0.0011462186
                   0.442                   -0.0011639713
              0.44400001                   -0.0011815301
