        Frequency / GHz                S1,1/imaginary
----------------------------------------------------------------------
                       0                               0
            0.0020000001                  -0.00067013327
            0.0040000002                   -0.0013401845
            0.0060000001                   -0.0020100733
            0.0080000004                   -0.0026797233
            0.0099999998                   -0.0033490651
                   0.012                   -0.0040180357
                   0.014                   -0.0046865814
             0.016000001                   -0.0053546606
             0.017999999                   -0.0060222424
                    0.02                   -0.0066893082
                   0.022                   -0.0073558562
                   0.024                   -0.0080218939
             0.026000001                    -0.008687444
             0.028000001                    -0.009352548
             0.029999999                    -0.010017251
             0.032000002                    -0.010681622
             0.034000002                    -0.011345733
             0.035999998                    -0.012009666
             0.037999999                     -0.01267352
             0.039999999                    -0.013337392
             0.041999999                    -0.014001388
                   0.044                    -0.014665616
                   0.046                    -0.015330187
                   0.048                    -0.015995212
             0.050000001                    -0.016660791
             0.052000001                    -0.017327027
             0.054000001                     -0.01799402
             0.056000002                    -0.018661849
             0.057999998                    -0.019330593
             0.059999999                    -0.020000316
             0.061999999                    -0.020671071
             0.064000003                    -0.021342896
                   0.066                    -0.022015817
             0.068000004                    -0.022689842
                    0.07                    -0.023364972
             0.071999997                    -0.024041189
             0.074000001                    -0.024718462
             0.075999998                    -0.025396751
             0.078000002                    -0.026076004
             0.079999998                    -0.026756154
             0.082000002                    -0.027437134
             0.083999999                    -0.028118866
             0.086000003                     -0.02880127
                   0.088                    -0.029484268
             0.090000004                    -0.030167768
                   0.092                    -0.030851694
             0.093999997                    -0.031535961
             0.096000001                    -0.032220513
             0.097999997                    -0.032905266
                     0.1                    -0.033590179
                   0.102                      -0.0342752
                   0.104                    -0.034960307
                   0.106                     -0.03564547
                   0.108                    -0.036330689
                    0.11                    -0.037015971
                   0.112                    -0.037701342
                   0.114                    -0.038386833
                   0.116                    -0.039072499
                   0.118                     -0.03975841
                    0.12                    -0.040444627
                   0.122                    -0.041131251
                   0.124                    -0.041818369
                   0.126                    -0.042506088
              0.12800001                    -0.043194514
                    0.13                    -0.043883756
                   0.132                    -0.044573933
                   0.134                    -0.045265157
              0.13600001                    -0.045957536
                   0.138                    -0.046651177
                    0.14                    -0.047346186
                   0.142                     -0.04804264
              0.14399999                    -0.048740625
                   0.146                    -0.049440216
                   0.148                    -0.050141465
              0.15000001                    -0.050844416
                   0.152                    -0.051549096
                   0.154                    -0.052255526
                   0.156                      -0.0529637
              0.15800001                    -0.053673606
                    0.16                    -0.054385226
                   0.162                    -0.055098511
                   0.164                    -0.055813409
              0.16599999                    -0.056529868
                   0.168                    -0.057247806
                    0.17                    -0.057967167
              0.17200001                    -0.058687847
              0.17399999                     -0.05940979
                   0.176                    -0.060132887
                   0.178                    -0.060857076
              0.18000001                    -0.061582264
                   0.182                    -0.062308386
                   0.184                    -0.063035384
                   0.186                    -0.063763194
              0.18799999                    -0.064491786
                    0.19                    -0.065221108
                   0.192                    -0.065951169
              0.19400001                    -0.066681936
              0.19599999                    -0.067413442
                   0.198                    -0.068145722
                     0.2                    -0.068878777
              0.20200001                    -0.069612697
                   0.204                    -0.070347548
                   0.206                    -0.071083404
                   0.208                    -0.071820356
              0.20999999                      -0.0725585
                   0.212                    -0.073297963
                   0.214                    -0.074038848
              0.21600001                    -0.074781284
              0.21799999                    -0.075525373
                    0.22                    -0.076271266
                   0.222                    -0.077019058
              0.22400001                    -0.077768885
                   0.226                     -0.07852082
                   0.228                    -0.079274997
                    0.23                    -0.080031477
              0.23199999                    -0.080790341
                   0.234                    -0.081551656
                   0.236                    -0.082315475
              0.23800001                    -0.083081834
              0.23999999                    -0.083850741
                   0.242                    -0.084622204
                   0.244                    -0.085396208
              0.24600001                    -0.086172737
                   0.248                    -0.086951733
                    0.25                    -0.087733187
                   0.252                    -0.088516988
              0.25400001                    -0.089303091
              0.25600001                    -0.090091422
              0.25799999                    -0.090881892
              0.25999999                    -0.091674432
              0.26199999                     -0.09246894
                   0.264                    -0.093265332
                   0.266                    -0.094063558
              0.26800001                    -0.094863512
              0.27000001                    -0.095665149
              0.27200001                    -0.096468426
              0.27399999                     -0.09727329
              0.27599999                    -0.098079719
                   0.278                    -0.098887697
                    0.28                    -0.099697225
              0.28200001                     -0.10050833
              0.28400001                     -0.10132106
              0.28600001                     -0.10213545
              0.28799999                     -0.10295157
              0.28999999                     -0.10376951
                   0.292                     -0.10458937
                   0.294                     -0.10541122
