        Frequency / GHz                S2,2/real
----------------------------------------------------------------------
                       0                      0.99996066
            0.0020000001                      0.99996066
            0.0040000002                       0.9999606
            0.0060000001                      0.99996042
            0.0080000004                      0.99996024
            0.0099999998                      0.99996001
                   0.012                      0.99995953
                   0.014                      0.99995887
             0.016000001                      0.99995804
             0.017999999                      0.99995685
                    0.02                      0.99995536
                   0.022                      0.99995351
                   0.024                      0.99995112
             0.026000001                      0.99994838
             0.028000001                      0.99994493
             0.029999999                      0.99994081
             0.032000002                       0.9999361
             0.034000002                      0.99993068
             0.035999998                      0.99992442
             0.037999999                      0.99991739
             0.039999999                      0.99990952
             0.041999999                      0.99990076
                   0.044                       0.9998911
                   0.046                      0.99988067
                   0.048                      0.99986929
             0.050000001                      0.99985701
             0.052000001                      0.99984396
             0.054000001                      0.99983001
             0.056000002                      0.99981529
             0.057999998                      0.99979979
             0.059999999                      0.99978364
             0.061999999                      0.99976677
             0.064000003                      0.99974936
                   0.066                       0.9997313
             0.068000004                      0.99971282
                    0.07                      0.99969393
             0.071999997                      0.99967456
             0.074000001                      0.99965495
             0.075999998                      0.99963504
             0.078000002                      0.99961495
             0.079999998                      0.99959457
             0.082000002                      0.99957412
             0.083999999                      0.99955356
             0.086000003                      0.99953288
                   0.088                      0.99951214
             0.090000004                      0.99949127
                   0.092                      0.99947029
             0.093999997                      0.99944925
             0.096000001                      0.99942809
             0.097999997                      0.99940675
                     0.1                       0.9993853
                   0.102                      0.99936366
                   0.104                      0.99934167
                   0.106                      0.99931937
                   0.108                      0.99929672
                    0.11                      0.99927354
                   0.112                      0.99924994
                   0.114                      0.99922574
                   0.116                      0.99920088
                   0.118                      0.99917537
                    0.12                      0.99914914
                   0.122                      0.99912208
                   0.124                      0.99909425
                   0.126                       0.9990654
              0.12800001                      0.99903572
                    0.13                      0.99900502
                   0.132                      0.99897343
                   0.134                      0.99894089
              0.13600001                      0.99890727
                   0.138                       0.9988727
                    0.14                      0.99883723
                   0.142                      0.99880075
              0.14399999                      0.99876332
                   0.146                      0.99872506
                   0.148                      0.99868596
              0.15000001                      0.99864608
                   0.152                      0.99860549
                   0.154                      0.99856418
                   0.156                      0.99852228
              0.15800001                      0.99847978
                    0.16                      0.99843681
                   0.162                      0.99839336
                   0.164                      0.99834949
              0.16599999                       0.9983052
                   0.168                      0.99826062
                    0.17                      0.99821579
              0.17200001                      0.99817079
              0.17399999                      0.99812543
                   0.176                      0.99807984
                   0.178                      0.99803406
              0.18000001                      0.99798805
                   0.182                      0.99794179
                   0.184                      0.99789524
                   0.186                      0.99784845
              0.18799999                      0.99780124
                    0.19                      0.99775374
                   0.192                      0.99770582
              0.19400001                      0.99765742
              0.19599999                      0.99760836
                   0.198                      0.99755871
                     0.2                      0.99750841
              0.20200001                      0.99745733
                   0.204                      0.99740535
                   0.206                      0.99735254
                   0.208                      0.99729878
              0.20999999                      0.99724394
                   0.212                      0.99718803
                   0.214                      0.99713099
              0.21600001                      0.99707282
              0.21799999                      0.99701339
                    0.22                      0.99695271
                   0.222                      0.99689078
              0.22400001                      0.99682766
                   0.226                      0.99676317
                   0.228                      0.99669743
                    0.23                      0.99663055
              0.23199999                      0.99656236
                   0.234                      0.99649298
                   0.236                      0.99642247
              0.23800001                      0.99635082
              0.23999999                      0.99627811
                   0.242                      0.99620444
                   0.244                      0.99612981
              0.24600001                      0.99605423
                   0.248                      0.99597788
                    0.25                      0.99590075
                   0.252                      0.99582279
              0.25400001                      0.99574417
              0.25600001                      0.99566495
              0.25799999                      0.99558508
              0.25999999                      0.99550468
              0.26199999                      0.99542361
                   0.264                      0.99534208
                   0.266                      0.99525988
              0.26800001                      0.99517715
              0.27000001                      0.99509388
              0.27200001                       0.9950099
              0.27399999                      0.99492538
              0.27599999                      0.99484009
                   0.278                      0.99475408
                    0.28                      0.99466717
              0.28200001                      0.99457943
              0.28400001                       0.9944908
              0.28600001                       0.9944011
              0.28799999                       0.9943102
              0.28999999                      0.99421823
                   0.292                      0.99412489
                   0.294                      0.99403024
                   0.296                      0.99393404
              0.29800001                       0.9938364
              0.30000001                      0.99373716
              0.30199999                      0.99363637
              0.30399999                      0.99353373
              0.30599999                      0.99342942
                   0.308                      0.99332327
                    0.31                      0.99321526
              0.31200001                      0.99310547
              0.31400001                      0.99299377
              0.31600001                      0.99288028
              0.31799999                      0.99276489
              0.31999999                      0.99264759
                   0.322                      0.99252856
                   0.324                       0.9924078
              0.32600001                      0.99228519
              0.32800001                      0.99216098
              0.33000001                      0.99203497
              0.33199999                      0.99190748
              0.33399999                      0.99177843
                   0.336                      0.99164784
                   0.338                      0.99151582
                    0.34                      0.99138248
              0.34200001                      0.99124771
              0.34400001                      0.99111164
              0.34599999                      0.99097437
              0.34799999                      0.99083579
              0.34999999                      0.99069589
                   0.352                      0.99055487
                   0.354                      0.99041253
              0.35600001                      0.99026906
              0.35800001                      0.99012417
              0.36000001                      0.98997802
              0.36199999                      0.98983049
              0.36399999                       0.9896816
                   0.366                      0.98953122
                   0.368                      0.98937923
                    0.37                      0.98922557
              0.37200001                      0.98907024
              0.37400001                      0.98891294
              0.37599999                       0.9887538
              0.37799999                      0.98859262
                    0.38                      0.98842925
                   0.382                      0.98826367
                   0.384                       0.9880957
              0.38600001                      0.98792529
              0.38800001                      0.98775238
              0.38999999                      0.98757678
              0.39199999                      0.98739851
              0.39399999                      0.98721737
                   0.396                      0.98703343
                   0.398                      0.98684663
              0.40000001                      0.98665673
              0.40200001                       0.9864639
              0.40400001                      0.98626804
              0.40599999                       0.9860692
              0.40799999                      0.98586732
                    0.41                       0.9856624
                   0.412                      0.98545444
                   0.414                       0.9852435
              0.41600001                       0.9850297
              0.41800001                      0.98481297
              0.41999999                      0.98459315
              0.42199999                      0.98437065
              0.42399999                      0.98414522
                   0.426                        0.983917
                   0.428                      0.98368603
              0.43000001                       0.9834525
              0.43200001                      0.98321611
              0.43399999                      0.98297715
              0.43599999                      0.98273546
              0.43799999                      0.98249108
                    0.44                      0.98224407
                   0.442                      0.98199421
              0.44400001                      0.98174179
              0.44600001                       0.9814865
              0.44800001                      0.98122829
              0.44999999                      0.98096728
              0.45199999                      0.98070312
                   0.454                      0.98043597
                   0.456                      0.98016548
                   0.458                      0.97989172
              0.46000001                      0.97961456
              0.46200001                       0.9793337
              0.46399999                      0.97904909
              0.46599999                      0.97876066
              0.46799999                      0.97846824
                    0.47                      0.97817153
                   0.472                      0.97787058
              0.47400001                      0.97756511
              0.47600001                      0.97725511
              0.47799999                      0.97694027
              0.47999999                      0.97662061
              0.48199999                      0.97629595
                   0.484                      0.97596622
                   0.486                      0.97563124
              0.48800001                      0.97529107
              0.49000001                      0.97494543
              0.49200001                      0.97459441
              0.49399999                      0.97423792
              0.49599999                      0.97387588
                   0.498                      0.97350818
                     0.5                      0.97313488
              0.50199997                      0.97275597
              0.50400001                      0.97237146
              0.50599998                      0.97198123
              0.50800002                      0.97158527
              0.50999999                      0.97118366
              0.51200002                      0.97077638
                   0.514                      0.97036344
              0.51599997                      0.96994478
              0.51800001                      0.96952027
              0.51999998                      0.96909004
              0.52200001                      0.96865398
              0.52399999                      0.96821207
              0.52600002                      0.96776414
                   0.528                      0.96731043
              0.52999997                      0.96685046
              0.53200001                      0.96638441
              0.53399998                      0.96591198
              0.53600001                      0.96543318
              0.53799999                      0.96494764
              0.54000002                      0.96445543
                   0.542                       0.9639563
              0.54400003                      0.96345001
                   0.546                      0.96293622
              0.54799998                       0.9624151
              0.55000001                      0.96188617
              0.55199999                      0.96134913
              0.55400002                      0.96080387
              0.55599999                       0.9602502
              0.55800003                      0.95968777
                    0.56                      0.95911622
              0.56199998                      0.95853567
              0.56400001                      0.95794564
              0.56599998                       0.9573459
              0.56800002                      0.95673621
              0.56999999                      0.95611644
              0.57200003                      0.95548636
                   0.574                      0.95484585
              0.57599998                      0.95419461
              0.57800001                      0.95353252
              0.57999998                      0.95285934
              0.58200002                      0.95217508
              0.58399999                      0.95147961
              0.58600003                      0.95077264
                   0.588                      0.95005417
              0.58999997                      0.94932407
              0.59200001                      0.94858223
              0.59399998                      0.94782865
              0.59600002                      0.94706303
              0.59799999                      0.94628537
              0.60000002                      0.94549561
                   0.602                      0.94469351
              0.60399997                      0.94387901
              0.60600001                      0.94305211
